,plateifus,gas best angle,gas error angle,stellar best angle,stellar error angle,delta PA
151,9869-12704,90.5,0.5,99.5,1.5,-9.0
152,8312-6103,57.0,0.5,65.0,10.75,-8.0
153,9869-6102,113.0,0.5,118.5,25.75,-5.5
154,8601-6102,144.0,0.5,150.5,11.0,-6.5
155,9869-12701,84.0,0.5,100.5,3.0,-16.5
156,8588-6103,98.0,0.5,86.5,5.0,11.5
157,8606-3704,138.5,0.5,103.5,7.5,35.0
158,8606-12702,4.0,0.5,92.0,89.75,-88.0
159,8249-12702,19.0,0.5,139.5,0.5,-120.5
160,8149-1901,127.5,0.5,60.0,32.25,67.5
161,8149-3703,115.0,0.5,64.5,5.75,50.5
162,8453-6101,151.0,0.5,145.5,4.0,5.5
163,8453-6104,36.0,0.5,163.5,0.75,-127.5
164,8453-1901,63.5,0.5,139.0,5.5,-75.5
165,8999-12705,78.5,0.5,65.0,4.0,13.5
166,8999-6101,112.0,0.5,117.5,8.5,-5.5
167,8992-1902,69.0,6.25,72.0,16.5,-3.0
168,8997-3704,91.0,8.25,137.0,5.5,-46.0
169,8997-3703,15.0,0.5,52.0,6.25,-37.0
170,8997-12703,71.0,0.5,24.5,1.0,46.5
171,8992-3703,39.0,4.0,32.0,5.25,7.0
172,9184-1901,145.0,79.5,80.5,89.75,64.5
173,9184-3703,154.5,0.5,5.5,13.75,149.0
174,8439-1902,66.0,3.0,125.5,39.25,-59.5
175,8941-9101,38.5,0.5,63.5,3.5,-25.0
176,8461-1902,6.5,3.5,72.0,7.5,-65.5
177,8461-9102,13.5,0.5,119.5,26.0,-106.0
178,8461-6102,116.5,0.5,88.0,3.25,28.5
179,8456-3704,100.5,0.5,8.5,5.5,92.0
180,8453-3703,177.0,0.5,158.5,18.5,18.5
181,8452-1901,20.0,0.5,147.0,26.25,-127.0
182,8999-9101,68.0,0.5,178.5,1.25,-110.5
183,8990-3703,98.5,0.5,31.0,6.75,67.5
184,8989-12705,158.5,0.5,163.0,10.0,-4.5
185,9883-1901,92.0,2.0,139.5,19.75,-47.5
186,7964-12705,20.0,0.5,2.5,1.0,17.5
187,7964-1902,15.5,0.5,149.5,89.75,-134.0
188,9000-3704,179.0,0.5,15.0,8.75,164.0
189,9864-9102,75.5,0.5,81.5,10.5,-6.0
190,8597-9102,98.0,0.5,111.0,3.5,-13.0
191,9034-3703,152.5,0.5,80.5,3.0,72.0
192,8597-3702,152.5,0.5,117.5,6.5,35.0
193,9034-6101,4.0,0.5,4.5,4.7500000000000036,-0.5
194,9870-3703,87.0,0.5,85.5,39.0,1.5
195,9870-6101,138.5,0.5,65.0,6.0,73.5
196,9037-3701,129.5,0.5,151.0,11.5,-21.5
197,9037-3702,144.5,0.5,84.0,6.5,60.5
198,8937-1901,63.0,8.25,105.5,12.25,-42.5
199,8146-1902,56.0,0.5,1.5,7.0,54.5
200,8156-12704,104.5,0.5,154.0,0.5,-49.5
201,8592-1902,7.0,7.25,125.5,6.5,-118.5
202,8486-3702,22.5,0.5,48.0,4.5,-25.5
203,8602-3702,62.0,0.5,8.5,7.5,53.5
204,8312-1901,108.5,0.5,60.5,7.75,48.0
205,8604-6101,26.0,37.50000000000001,37.5,6.0,-11.5
206,8604-3702,168.5,0.5,152.5,9.75,16.0
207,8602-3703,102.0,0.5,95.0,38.25,7.0
208,8602-6101,155.5,0.5,115.0,2.5,40.5
209,7495-6104,136.0,0.5,91.0,4.0,45.0
210,7495-1902,114.0,0.5,158.0,8.0,-44.0
211,8440-1901,123.5,0.5,17.5,20.75,106.0
212,8250-6103,33.0,0.5,46.0,5.0,-13.0
213,9497-3702,86.5,0.5,134.0,9.5,-47.5
214,8942-6101,7.5,0.5,12.5,17.25,-5.0
215,9510-3704,68.5,26.5,172.5,34.25000000000001,-104.0
216,9510-1901,84.0,0.5,20.5,7.5,63.5
217,9510-3703,124.0,0.5,128.5,5.5,-4.5
218,8325-1902,73.0,0.5,57.0,5.25,16.0
219,8325-3704,38.5,11.5,102.5,11.25,-64.0
220,8611-1902,29.0,0.5,133.0,5.0,-104.0
221,7990-6101,73.0,0.5,82.5,3.25,-9.5
222,8625-3703,148.0,0.5,121.0,4.25,27.0
223,7991-6102,168.5,0.5,126.0,2.75,42.5
224,8591-6103,84.5,0.5,107.5,14.25,-23.0
225,8547-6104,117.0,0.5,76.0,13.25,41.0
226,9865-1902,165.5,7.75,82.0,12.75,83.5
227,9037-1902,52.5,9.75,52.5,14.25,0.0
228,9035-1901,10.0,0.5,26.5,11.25,-16.5
229,9036-1902,83.5,0.5,35.5,7.75,48.0
230,8254-6104,116.5,0.5,42.0,11.0,74.5
231,8256-1902,95.0,0.5,60.5,23.0,34.5
232,8624-6103,60.5,0.5,54.0,3.75,6.5
233,8624-6102,33.5,1.0,59.5,1.0,-26.0
234,8261-6104,79.0,0.5,73.5,4.5,5.5
235,8254-3703,138.0,0.5,114.5,3.0,23.5
236,8255-3703,63.0,0.5,85.0,15.75,-22.0
237,8255-3704,68.5,0.5,140.5,15.25,-72.0
238,8466-1901,33.5,15.5,125.0,4.5,-91.5
239,8259-1901,128.0,0.5,133.0,12.75,-5.0
240,8263-3701,98.5,0.75,96.0,3.0,2.5
241,8263-9101,25.0,0.5,117.5,6.0,-92.5
242,8317-3701,66.5,3.5,41.5,11.0,25.0
243,8318-6103,36.0,0.5,44.0,2.5,-8.0
244,8465-1902,103.0,0.5,113.5,17.75,-10.5
245,8655-6101,75.0,0.5,121.0,66.75,-46.0
246,8655-1902,57.5,8.25,24.0,11.25,33.5
247,7443-12701,149.5,0.5,70.0,9.5,79.5
248,8462-1902,14.5,15.500000000000004,161.0,13.499999999999996,-146.5
249,9045-1901,116.0,6.25,110.0,6.5,6.0
250,9095-3702,40.5,0.5,133.5,15.0,-93.0
251,9095-6101,159.0,0.5,152.5,4.0,6.5
252,9048-6101,78.0,0.5,117.0,3.25,-39.0
253,9868-9101,57.5,0.5,89.0,2.5,-31.5
254,9868-12701,173.0,0.5,169.5,6.0,3.5
255,9868-12703,176.0,0.5,1.5,11.500000000000004,174.5
256,8552-3703,100.5,0.5,77.5,17.0,23.0
257,9872-1902,106.5,0.5,25.0,7.5,81.5
258,9027-1902,81.0,1.25,76.0,89.75,5.0
259,8720-1901,131.0,0.5,49.0,12.25,82.0
260,8078-3702,6.0,14.000000000000007,1.0,12.250000000000005,5.0
261,9002-3702,109.5,14.25,94.0,5.5,15.5
262,8711-1902,101.5,0.5,33.0,8.25,68.5
263,8715-6103,11.0,0.5,46.0,2.5,-35.0
264,8716-1901,3.5,3.5,24.0,12.75,-20.5
265,8711-9102,26.5,0.5,72.0,4.25,-45.5
266,8711-12703,118.5,0.5,106.0,6.0,12.5
267,8711-3703,150.0,0.5,147.5,10.25,2.5
268,8712-3702,31.0,1.25,22.0,6.0,9.0
269,8082-6101,85.0,0.5,113.5,6.75,-28.5
270,8083-3701,147.5,0.5,167.5,89.75,-20.0
271,8084-9101,24.5,0.5,3.0,15.500000000000004,21.5
272,9491-6102,93.0,0.5,108.5,1.75,-15.5
273,8085-3703,127.5,0.5,12.5,3.25,115.0
274,8083-6104,102.0,0.5,107.0,16.5,-5.0
275,8085-6102,81.5,0.5,12.5,2.75,69.0
276,8083-3704,85.5,0.5,78.5,4.75,7.0
277,8083-12701,89.5,12.25,109.5,0.75,-20.0
278,9488-6102,107.5,0.5,176.0,6.0,-68.5
279,9488-6101,151.0,3.25,67.5,0.5,83.5
280,9488-6103,153.5,14.0,134.0,3.5,19.5
281,9494-6102,174.5,0.5,4.0,12.999999999999998,170.5
282,8939-6101,32.0,0.5,16.5,2.75,15.5
283,9501-1902,94.0,6.75,113.5,7.75,-19.5
284,9501-12702,90.5,0.5,159.5,0.5,-69.0
285,8155-1901,18.0,0.5,88.0,10.75,-70.0
286,9506-1902,25.5,7.0,27.0,8.0,-1.5
287,8084-1902,139.0,11.0,43.5,16.75,95.5
288,8987-3704,1.0,1.75,175.5,4.25,-174.5
289,9506-3703,30.5,0.5,28.5,4.0,2.0
290,9505-3703,94.0,0.5,121.5,11.5,-27.5
291,8150-3704,121.5,0.5,152.5,11.5,-31.0
292,8323-3701,50.5,0.5,66.5,8.25,-16.0
293,8934-9102,55.5,0.5,128.5,7.5,-73.0
294,8934-6101,9.0,0.5,88.0,2.75,-79.0
