plateifus,gas best angle,gas error angle,stellar best angle,stellar error angle,delta PA,category,Galaxy Type,,,,,
8452-1901,20,0.5,147,26.25,-127,offset,Seyfert,,,,,
8999-9101,68,0.5,178.5,1.25,-110.5,offset,LINER,,,,,
8990-3703,98.5,0.5,31,6.75,67.5,offset,Star-forming,,,,,
8989-12705,158.5,0.5,163,10,-4.5,co-rotate,Star-forming,,,,,
9883-1901,92,2,139.5,19.75,-47.5,offset,Star-forming,,,,,
7964-12705,20,0.5,2.5,1,17.5,co-rotate,Star-forming,,,,,
7964-1902,15.5,0.5,149.5,89.75,-134,offset,LINER,,,,,
9000-3704,179,0.5,15,8.75,164,counter-rotate,x,,,,,
9864-9102,75.5,0.5,81.5,10.5,-6,co-rotate,Star-forming,,,,,
8597-9102,98,0.5,111,3.5,-13,co-rotate,Star-forming,,,,,
9034-3703,152.5,0.5,80.5,3,72,offset,x,,,,,
8597-3702,152.5,0.5,117.5,6.5,35,offset,Star-forming,,,,,
9034-6101,4,0.5,4.5,4.75,-0.5,co-rotate,Star-forming,,,,,
9870-3703,87,0.5,85.5,39,1.5,co-rotate,Star-forming,,,,,
9870-6101,138.5,0.5,65,6,73.5,offset,Star-forming,,,,,
9037-3701,129.5,0.5,151,11.5,-21.5,co-rotate,Star-forming,,,,,
9037-3702,144.5,0.5,84,6.5,60.5,offset,Star-forming,,,,,
8937-1901,63,8.25,105.5,12.25,-42.5,offset,Seyfert,,,,,
8146-1902,56,0.5,1.5,7,54.5,offset,Composite,,,,,
8156-12704,104.5,0.5,154,0.5,-49.5,offset,Star-forming,,,,,
8592-1902,7,7.25,125.5,6.5,-118.5,offset,Star-forming,,,,,
8486-3702,22.5,0.5,48,4.5,-25.5,co-rotate,LINER,,,,,
8602-3702,62,0.5,8.5,7.5,53.5,offset,x,,,,,
8312-1901,108.5,0.5,60.5,7.75,48,offset,LINER,,,,,
8604-6101,26,37.5,37.5,6,-11.5,co-rotate,Star-forming,,,,,
8604-3702,168.5,0.5,152.5,9.75,16,co-rotate,Star-forming,,,,,
8602-3703,102,0.5,95,38.25,7,co-rotate,x,,,,,
8602-6101,155.5,0.5,115,2.5,40.5,offset,Composite,,,,,
7495-6104,136,0.5,91,4,45,offset,Star-forming,,,,,
7495-1902,114,0.5,158,8,-44,offset,Seyfert,,,,,
8440-1901,123.5,0.5,17.5,20.75,106,offset,Star-forming,,,,,
8250-6103,33,0.5,46,5,-13,co-rotate,Star-forming,,,,,
9497-3702,86.5,0.5,134,9.5,-47.5,offset,Star-forming,,,,,
8942-6101,7.5,0.5,12.5,17.25,-5,co-rotate,LINER,,,,,
9510-3704,68.5,26.5,172.5,34.25,-104,offset,Star-forming,,,,,
9510-1901,84,0.5,20.5,7.5,63.5,offset,Star-forming,,,,,
9510-3703,124,0.5,128.5,5.5,-4.5,co-rotate,x,,,,,
8325-1902,73,0.5,57,5.25,16,co-rotate,LINER,,,,,
8325-3704,38.5,11.5,102.5,11.25,-64,offset,Composite,,,,,
8611-1902,29,0.5,133,5,-104,offset,LINER,,,,,
7990-6101,73,0.5,82.5,3.25,-9.5,co-rotate,Star-forming,,,,,
8625-3703,148,0.5,121,4.25,27,co-rotate,Star-forming,,,,,
7991-6102,168.5,0.5,126,2.75,42.5,offset,x,,,,,
8591-6103,84.5,0.5,107.5,14.25,-23,co-rotate,Star-forming,,,,,
8547-6104,117,0.5,76,13.25,41,offset,Composite,,,,,
9865-1902,165.5,7.75,82,12.75,83.5,offset,Seyfert,,,,,
9037-1902,52.5,9.75,52.5,14.25,0,co-rotate,LINER,,,,,
9035-1901,10,0.5,26.5,11.25,-16.5,co-rotate,LINER,,,,,
9036-1902,83.5,0.5,35.5,7.75,48,offset,LINER,,,,,
8254-6104,116.5,0.5,42,11,74.5,offset,Star-forming,,,,,
8256-1902,95,0.5,60.5,23,34.5,offset,Seyfert,,,,,
8624-6103,60.5,0.5,54,3.75,6.5,co-rotate,Star-forming,,,,,
8624-6102,33.5,1,59.5,1,-26,co-rotate,Star-forming,,,,,
8261-6104,79,0.5,73.5,4.5,5.5,co-rotate,Star-forming,,,,,
8254-3703,138,0.5,114.5,3,23.5,co-rotate,Seyfert,,,,,
8255-3703,63,0.5,85,15.75,-22,co-rotate,Star-forming,,,,,
8255-3704,68.5,0.5,140.5,15.25,-72,offset,Composite,,,,,
8466-1901,33.5,15.5,125,4.5,-91.5,offset,LINER,,,,,
8259-1901,128,0.5,133,12.75,-5,co-rotate,Seyfert,,,,,
8263-3701,98.5,0.75,96,3,2.5,co-rotate,Composite,,,,,
8263-9101,25,0.5,117.5,6,-92.5,offset,Star-forming,,,,,
8317-3701,66.5,3.5,41.5,11,25,co-rotate,LINER,,,,,
8318-6103,36,0.5,44,2.5,-8,co-rotate,Composite,,,,,
8465-1902,103,0.5,113.5,17.75,-10.5,co-rotate,Star-forming,,,,,
8655-6101,75,0.5,121,66.75,-46,offset,Star-forming,,,,,
8655-1902,57.5,8.25,24,11.25,33.5,offset,Seyfert,,,,,
7443-12701,149.5,0.5,70,9.5,79.5,offset,Star-forming,,,,,
8462-1902,14.5,15.5,161,13.5,-146.5,offset,Star-forming,,,,,
9045-1901,116,6.25,110,6.5,6,co-rotate,Composite,,,,,
9095-3702,40.5,0.5,133.5,15,-93,offset,x,,,,,
9095-6101,159,0.5,152.5,4,6.5,co-rotate,Star-forming,,,,,
9048-6101,78,0.5,117,3.25,-39,offset,LINER,,,,,
9868-9101,57.5,0.5,89,2.5,-31.5,offset,Star-forming,,,,,
9868-12701,173,0.5,169.5,6,3.5,co-rotate,LINER,,,,,
9868-12703,176,0.5,1.5,11.5,174.5,counter-rotate,Star-forming,,,,,
8552-3703,100.5,0.5,77.5,17,23,co-rotate,x,,,,,
9872-1902,106.5,0.5,25,7.5,81.5,offset,Composite,,,,,
9027-1902,81,1.25,76,89.75,5,co-rotate,x,,,,,
8720-1901,131,0.5,49,12.25,82,offset,Seyfert,,,,,
8078-3702,6,14,1,12.25,5,co-rotate,Star-forming,,,,,
9002-3702,109.5,14.25,94,5.5,15.5,co-rotate,Composite,,,,,
8711-1902,101.5,0.5,33,8.25,68.5,offset,Star-forming,,,,,
8715-6103,11,0.5,46,2.5,-35,offset,LINER,,,,,
8716-1901,3.5,3.5,24,12.75,-20.5,co-rotate,LINER,,,,,
8711-9102,26.5,0.5,72,4.25,-45.5,offset,Star-forming,,,,,
8711-12703,118.5,0.5,106,6,12.5,co-rotate,Star-forming,,,,,
8711-3703,150,0.5,147.5,10.25,2.5,co-rotate,LINER,,,,,
8712-3702,31,1.25,22,6,9,co-rotate,Star-forming,,,,,
8082-6101,85,0.5,113.5,6.75,-28.5,co-rotate,Star-forming,,,,,
8083-3701,147.5,0.5,167.5,89.75,-20,co-rotate,Seyfert,,,,,
8084-9101,24.5,0.5,3,15.5,21.5,co-rotate,Star-forming,,,,,
9491-6102,93,0.5,108.5,1.75,-15.5,co-rotate,LINER,,,,,
8085-3703,127.5,0.5,12.5,3.25,115,offset,x,,,,,
8083-6104,102,0.5,107,16.5,-5,co-rotate,LINER,,,,,
8085-6102,81.5,0.5,12.5,2.75,69,offset,x,,,,,
8083-3704,85.5,0.5,78.5,4.75,7,co-rotate,Composite,,,,,
8083-12701,89.5,12.25,109.5,0.75,-20,co-rotate,Star-forming,,,,,
9488-6102,107.5,0.5,176,6,-68.5,offset,Star-forming,,,,,
9488-6101,151,3.25,67.5,0.5,83.5,offset,Star-forming,,,,,
9488-6103,153.5,14,134,3.5,19.5,co-rotate,Star-forming,,,,,
9494-6102,174.5,0.5,4,13,170.5,counter-rotate,Star-forming,,,,,
8939-6101,32,0.5,16.5,2.75,15.5,co-rotate,Composite,,,,,
9501-1902,94,6.75,113.5,7.75,-19.5,co-rotate,Star-forming,,,,,
9501-12702,90.5,0.5,159.5,0.5,-69,offset,x,,,,,
8155-1901,18,0.5,88,10.75,-70,offset,Seyfert,,,,,
9506-1902,25.5,7,27,8,-1.5,co-rotate,Seyfert,,,,,
8084-1902,139,11,43.5,16.75,95.5,offset,LINER,,,,,
8987-3704,1,1.75,175.5,4.25,-174.5,counter-rotate,Star-forming,,,,,
9506-3703,30.5,0.5,28.5,4,2,co-rotate,Seyfert,,,,,
9505-3703,94,0.5,121.5,11.5,-27.5,co-rotate,Star-forming,,,,,
8150-3704,121.5,0.5,152.5,11.5,-31,offset,x,,,,,
8323-3701,50.5,0.5,66.5,8.25,-16,co-rotate,Star-forming,,,,,
8934-9102,55.5,0.5,128.5,7.5,-73,offset,LINER,,,,,
8934-6101,9,0.5,88,2.75,-79,offset,x,,,,,
9876-6103,29,0.5,33,7.25,-4,co-rotate,LINER,,,,,
8935-12705,73.5,0.5,141.5,18,-68,offset,x,,,,,
8934-6103,14.5,0.5,174,1,-159.5,counter-rotate,x,,,,,
8935-12701,68,0.5,59.5,3,8.5,co-rotate,x,,,,,
8935-12702,28.5,0.5,173.5,1.75,-145,offset,x,,,,,
8935-3703,45.5,0.5,83,19,-37.5,offset,Star-forming,,,,,
8323-6104,3,0.5,9,4.25,-6,co-rotate,Star-forming,,,,,
8446-6101,82.5,0.5,81.5,4,1,co-rotate,Star-forming,,,,,
9488-1901,129,9.5,159.5,8.75,-30.5,offset,LINER,,,,,
8442-6104,86,0.5,166,7.25,-80,offset,x,,,,,
8323-3704,171,1,166,4.5,5,co-rotate,Star-forming,,,,,
